order,name,type,format,year,varlab
122,ER30165,byte,%8.0g,1975,WHETHER MOVED IN/OUT                  75
123,ER30166,float,%9.0g,1975,MONTH MOVED IN/OUT                    75
124,ER30167,float,%9.0g,1975,YEAR MOVED IN/OUT                     75
125,ER30187,float,%9.0g,1975,INDIVIDUAL WEIGHT                     75
126,V4310,byte,%8.0g,1976,FAM COMP CHANGE
127,V4318,float,%9.0g,1976,HOUSE VALUE 1976      C4
128,V4449,byte,%8.0g,1976,TYPE OF DV            C2
129,V4450,byte,%8.0g,1976,OWN/RENT/OR WHAT      C3
130,V4452,byte,%8.0g,1976,MOVED SINCE SPRNG 75 C17
131,V4453,float,%9.0g,1976,WHAT MONTH WAS THAT  C18
132,V4454,byte,%8.0g,1976,WHY DID YOU MOVE     C19
133,V5099,float,%9.0g,1976,1976 FAMILY WEIGHT
134,ER30188,float,%9.0g,1976,1976 INTERVIEW NUMBER
135,ER30189,float,%9.0g,1976,SEQUENCE NUMBER                       76
136,ER30190,byte,%8.0g,1976,RELATIONSHIP TO HEAD                  76
137,ER30191,float,%9.0g,1976,AGE OF INDIVIDUAL                     76
138,ER30192,byte,%8.0g,1976,MARR PAIRS INDICATOR                  76
139,ER30193,byte,%8.0g,1976,WHETHER MOVED IN/OUT                  76
140,ER30194,float,%9.0g,1976,MONTH MOVED IN/OUT                    76
141,ER30195,float,%9.0g,1976,YEAR MOVED IN/OUT                     76
142,ER30216,float,%9.0g,1976,INDIVIDUAL WEIGHT                     76
143,V5210,byte,%8.0g,1977,FAM COMP CHNG 1977
144,V5217,float,%9.0g,1977,1977 HOUSE VALUE (C5)
145,V5363,byte,%8.0g,1977,TYPE DWELLING         C2
146,V5364,byte,%8.0g,1977,OWN/RENT OR WHAT?     C3
147,V5366,byte,%8.0g,1977,MOVED SINCE SPR 1976?C22
148,V5367,float,%9.0g,1977,MO MOVED             C23
149,V5368,byte,%8.0g,1977,WHY MOVED            C24
150,V5665,float,%9.0g,1977,1977 FAMILY WEIGHT
151,ER30217,float,%9.0g,1977,1977 INTERVIEW NUMBER
152,ER30218,float,%9.0g,1977,SEQUENCE NUMBER                       77
153,ER30219,byte,%8.0g,1977,RELATIONSHIP TO HEAD                  77
154,ER30220,float,%9.0g,1977,AGE OF INDIVIDUAL                     77
155,ER30221,byte,%8.0g,1977,MARR PAIRS INDICATOR                  77
156,ER30222,byte,%8.0g,1977,WHETHER MOVED IN/OUT                  77
157,ER30223,float,%9.0g,1977,MONTH MOVED IN/OUT                    77
158,ER30224,float,%9.0g,1977,YEAR MOVED IN/OUT                     77
159,ER30245,float,%9.0g,1977,INDIVIDUAL WEIGHT                     77
160,V5710,byte,%8.0g,1978,FAMILY COMP CHNG 1978
161,V5717,float,%9.0g,1978,1978 HOUSE VALUE (C5)
162,V5863,byte,%8.0g,1978,C2 TYPE DWELLING
163,V5864,byte,%8.0g,1978,C3 OWN/RENT OR WHAT
164,V5866,byte,%8.0g,1978,C20 MOVE SINCE SPR 1977
165,V5867,float,%9.0g,1978,C21 MONTH MOVE
166,V5868,byte,%8.0g,1978,C22 WHY MOVE
167,V6212,float,%9.0g,1978,78 UPDATED FAM WEIGHT
168,ER30246,float,%9.0g,1978,1978 INTERVIEW NUMBER
169,ER30247,float,%9.0g,1978,SEQUENCE NUMBER                       78
170,ER30248,byte,%8.0g,1978,RELATIONSHIP TO HEAD                  78
171,ER30249,float,%9.0g,1978,AGE OF INDIVIDUAL                     78
172,ER30250,byte,%8.0g,1978,MARR PAIRS INDICATOR                  78
173,ER30251,byte,%8.0g,1978,WHETHER MOVED IN/OUT                  78
174,ER30252,float,%9.0g,1978,MONTH MOVED IN/OUT                    78
175,ER30253,float,%9.0g,1978,YEAR MOVED IN/OUT                     78
176,ER30282,float,%9.0g,1978,INDIVIDUAL WEIGHT                     78
177,V6310,byte,%8.0g,1979,FAMILY COMP CHNG 1979
178,V6319,float,%9.0g,1979,1979 HOUSE VALUE (B5)
179,V6478,byte,%8.0g,1979,B2 TYPE DWELLING
180,V6479,byte,%8.0g,1979,B3 OWN/RENT OR WHAT
181,V6484,byte,%8.0g,1979,B21 MOVE SINCE SPR 1978
182,V6485,float,%9.0g,1979,B22 MONTH MOVE
183,V6486,byte,%8.0g,1979,B23 WHY MOVE
184,V6805,float,%9.0g,1979,79 FAMILY WEIGHT
185,ER30283,float,%9.0g,1979,1979 INTERVIEW NUMBER
186,ER30284,float,%9.0g,1979,SEQUENCE NUMBER                       79
187,ER30285,byte,%8.0g,1979,RELATIONSHIP TO HEAD                  79
188,ER30286,float,%9.0g,1979,AGE OF INDIVIDUAL                     79
189,ER30287,byte,%8.0g,1979,MARR PAIRS INDICATOR                  79
190,ER30288,byte,%8.0g,1979,WHETHER MOVED IN/OUT                  79
191,ER30289,float,%9.0g,1979,MONTH MOVED IN/OUT                    79
192,ER30290,float,%9.0g,1979,YEAR MOVED IN/OUT                     79
193,ER30293,byte,%8.0g,1979,EMPL STATUS                           79
194,ER30312,float,%9.0g,1979,INDIVIDUAL WEIGHT                     79
195,V6910,byte,%8.0g,1980,FAM COMP CHANGE 1980
196,V6917,float,%9.0g,1980,1980 HOUSE VALUE (B7)
197,V7081,byte,%8.0g,1980,B2 TYPE DWELLING
198,V7084,byte,%8.0g,1980,B5 OWN/RENT OR WHAT
199,V7089,byte,%8.0g,1980,B23 MOVE SINCE SPR 1979
200,V7090,float,%9.0g,1980,B24 MONTH MOVED
201,V7091,byte,%8.0g,1980,B25 WHY MOVED
202,V7451,float,%9.0g,1980,1980 FAMILY WEIGHT
203,ER30313,float,%9.0g,1980,1980 INTERVIEW NUMBER
204,ER30314,float,%9.0g,1980,SEQUENCE NUMBER                       80
205,ER30315,byte,%8.0g,1980,RELATIONSHIP TO HEAD                  80
206,ER30316,float,%9.0g,1980,AGE OF INDIVIDUAL                     80
207,ER30317,byte,%8.0g,1980,MARR PAIRS INDICATOR                  80
208,ER30318,byte,%8.0g,1980,WHETHER MOVED IN/OUT                  80
209,ER30319,float,%9.0g,1980,MONTH MOVED IN/OUT                    80
210,ER30320,float,%9.0g,1980,YEAR MOVED IN/OUT                     80
211,ER30323,byte,%8.0g,1980,1980 EMPL STATUS                      80
212,ER30342,float,%9.0g,1980,INDIVIDUAL WEIGHT                     80
213,V7510,byte,%8.0g,1981,FAM COMP CHANGE-1981
214,V7517,float,%9.0g,1981,1981 HOUSE VALUE (B7)
215,V7672,byte,%8.0g,1981,B2 TYPE DWELLING
216,V7675,byte,%8.0g,1981,B5 OWN/RENT OR WHAT
217,V7700,byte,%8.0g,1981,B34 MOVD SINCE SPR 1980?
218,V7701,float,%9.0g,1981,B35 MONTH MOVED
219,V7702,byte,%8.0g,1981,B36 WHY MOVED
220,V8103,float,%9.0g,1981,1981 FAMILY WEIGHT
221,ER30343,float,%9.0g,1981,1981 INTERVIEW NUMBER
222,ER30344,float,%9.0g,1981,SEQUENCE NUMBER                       81
223,ER30345,byte,%8.0g,1981,RELATIONSHIP TO HEAD                  81
224,ER30346,float,%9.0g,1981,AGE OF INDIVIDUAL                     81
225,ER30347,byte,%8.0g,1981,MARR PAIRS INDICATOR                  81
226,ER30348,byte,%8.0g,1981,WHETHER MOVED IN/OUT                  81
227,ER30349,float,%9.0g,1981,MONTH MOVED IN/OUT                    81
228,ER30350,float,%9.0g,1981,YEAR MOVED IN/OUT                     81
229,ER30353,byte,%8.0g,1981,EMPLOYMENT STAT                       81
230,ER30372,float,%9.0g,1981,INDIVIDUAL WEIGHT                     81
231,V8210,byte,%8.0g,1982,FAM COMP CHANGE-1982
232,V8217,float,%9.0g,1982,1982 HOUSE VALUE (B6)
233,V8364,byte,%8.0g,1982,B5 OWN/RENT OR WHAT
234,V8369,byte,%8.0g,1982,B17 MOVD SINCE SPR 1981?
235,V8370,byte,%8.0g,1982,B18 WHY MOVED
236,V8727,float,%9.0g,1982,1982 FAMILY WEIGHT
237,ER30373,float,%9.0g,1982,1982 INTERVIEW NUMBER
238,ER30374,float,%9.0g,1982,SEQUENCE NUMBER                       82
239,ER30375,byte,%8.0g,1982,RELATIONSHIP TO HEAD                  82
240,ER30376,float,%9.0g,1982,AGE OF INDIVIDUAL                     82
241,ER30377,byte,%8.0g,1982,MARR PAIRS INDICATOR                  82
242,ER30378,byte,%8.0g,1982,WHETHER MOVED IN/OUT                  82
243,ER30379,float,%9.0g,1982,MONTH MOVED IN/OUT                    82
244,ER30380,float,%9.0g,1982,YEAR MOVED IN/OUT                     82
245,ER30382,byte,%8.0g,1982,EMPLOYMENT STATUS                     82
246,ER30398,float,%9.0g,1982,INDIVIDUAL WEIGHT                     82
247,V8810,byte,%8.0g,1983,FAM COMP CHANGE-1983
248,V8817,float,%9.0g,1983,1983 HOUSE VALUE (B7)
249,V8970,byte,%8.0g,1983,B2 TYPE DU
250,V8974,byte,%8.0g,1983,B6 OWN/RENT OR WHAT
251,V8999,byte,%8.0g,1983,B34 MOVD SINCE SPR 1982?
252,V9000,float,%9.0g,1983,B35 MONTH MOVED
253,V9001,byte,%8.0g,1983,B36 WHY MOVED
254,V9433,float,%9.0g,1983,1983 FAMILY WEIGHT
255,ER30399,float,%9.0g,1983,1983 INTERVIEW NUMBER
256,ER30400,float,%9.0g,1983,SEQUENCE NUMBER                       83
257,ER30401,float,%9.0g,1983,RELATIONSHIP TO HEAD                  83
258,ER30402,float,%9.0g,1983,AGE OF INDIVIDUAL                     83
259,ER30405,byte,%8.0g,1983,MARR PAIRS INDICATOR                  83
260,ER30406,byte,%8.0g,1983,WHETHER MOVED IN/OUT                  83
261,ER30407,float,%9.0g,1983,MONTH MOVED IN/OUT                    83
262,ER30408,float,%9.0g,1983,YEAR MOVED IN/OUT                     83
263,ER30411,byte,%8.0g,1983,EMPLOYMENT STATUS                     83
264,ER30428,float,%9.0g,1983,INDIVIDUAL WEIGHT                     83
265,V10010,byte,%8.0g,1984,FAM COMP CHANGE-1984
266,V10017,byte,%8.0g,1984,TYPE OF INSTITUTION-1984
267,V10018,float,%9.0g,1984,1984 HOUSE VALUE (B7)
268,V10433,byte,%8.0g,1984,B2 TYPE HU
269,V10437,byte,%8.0g,1984,B6 OWN/RENT OR WHAT
270,V10447,byte,%8.0g,1984,B27 MOVD SINCE SPR 1983?
271,V10448,float,%9.0g,1984,B28 MONTH MOVED
272,V10449,byte,%8.0g,1984,B29 WHY MOVED
273,V10877,byte,%8.0g,1984,K91 H RATE HEALTH 84
274,V10884,byte,%8.0g,1984,K98 WIFE HEALTH IN 84
275,V11079,float,%9.0g,1984,1984 FAMILY WEIGHT
276,ER30429,float,%9.0g,1984,1984 INTERVIEW NUMBER
277,ER30430,float,%9.0g,1984,SEQUENCE NUMBER                       84
278,ER30431,float,%9.0g,1984,RELATIONSHIP TO HEAD                  84
279,ER30432,float,%9.0g,1984,AGE OF INDIVIDUAL                     84
280,ER30435,byte,%8.0g,1984,MARR PAIRS INDICATOR                  84
281,ER30436,byte,%8.0g,1984,WHETHER MOVED IN/OUT                  84
282,ER30437,float,%9.0g,1984,MONTH MOVED IN/OUT                    84
283,ER30438,float,%9.0g,1984,YEAR MOVED IN/OUT                     84
284,ER30441,byte,%8.0g,1984,EMPLOYMENT STAT                       84
285,ER30462,float,%9.0g,1984,INDIVIDUAL WEIGHT                     84
286,V11112,byte,%8.0g,1985,FAM COMP CHANGE       85
287,V11124,byte,%8.0g,1985,TYPE INSTITUTION      85
288,V11125,float,%9.0g,1985,1985 HOUSE VALUE   (A10)
289,V11613,byte,%8.0g,1985,A4 TYPE DU
290,V11618,byte,%8.0g,1985,A9 OWN/RENT OR WHAT
291,V11628,byte,%8.0g,1985,A29 MOVD SINCE SPG 84?
292,V11629,float,%9.0g,1985,A30 MONTH MOVED
293,V11630,byte,%8.0g,1985,A31 WHY MOVED
294,V11991,byte,%8.0g,1985,H27 HEALTH NOW-HEAD
295,V12344,byte,%8.0g,1985,P6 HEALTH NOW-WIFE
296,V12415,byte,%8.0g,1985,# INDS IN HLTH CARE FAC
297,V12446,float,%9.0g,1985,1985 FAMILY WEIGHT
298,ER30463,float,%9.0g,1985,1985 INTERVIEW NUMBER
299,ER30464,float,%9.0g,1985,SEQUENCE NUMBER                       85
300,ER30465,float,%9.0g,1985,RELATIONSHIP TO HEAD                  85
301,ER30466,float,%9.0g,1985,AGE OF INDIVIDUAL                     85
302,ER30469,byte,%8.0g,1985,MARR PAIRS INDICATOR                  85
303,ER30470,byte,%8.0g,1985,WHETHER MOVED IN/OUT                  85
304,ER30471,float,%9.0g,1985,MONTH MOVED IN/OUT                    85
305,ER30472,float,%9.0g,1985,YEAR MOVED IN/OUT                     85
306,ER30474,byte,%8.0g,1985,EMPLOYMENT STAT                       85
307,ER30497,float,%9.0g,1985,INDIVIDUAL WEIGHT                     85
308,V12510,byte,%8.0g,1986,FAM COMP CHANGE       86
309,V12523,byte,%8.0g,1986,TYPE INSTITUTION      86
310,V12524,float,%9.0g,1986,1986 HOUSE VALUE   (A10)
311,V13018,byte,%8.0g,1986,A4 TYPE DU
312,V13023,byte,%8.0g,1986,A9 OWN/RENT OR WHAT
313,V13037,byte,%8.0g,1986,A33 MOVD SINCE SPG 85?
314,V13038,float,%9.0g,1986,A34 MONTH MOVED
315,V13039,byte,%8.0g,1986,A35 WHY MOVED
316,V13417,byte,%8.0g,1986,H1 STATUS OF HEALTH-HEAD
317,V13452,byte,%8.0g,1986,H37 STATUS OF HLTH  WIFE
318,V13655,byte,%8.0g,1986,# INDS IN HLTH CARE FAC
319,V13687,float,%9.0g,1986,1986 FAMILY WEIGHT
320,ER30498,float,%9.0g,1986,1986 INTERVIEW NUMBER
321,ER30499,float,%9.0g,1986,SEQUENCE NUMBER                       86
322,ER30500,float,%9.0g,1986,RELATIONSHIP TO HEAD                  86
323,ER30501,float,%9.0g,1986,AGE OF INDIVIDUAL                     86
324,ER30504,byte,%8.0g,1986,MARR PAIRS INDICATOR                  86
325,ER30505,byte,%8.0g,1986,WHETHER MOVED IN/OUT                  86
326,ER30506,float,%9.0g,1986,MONTH MOVED IN/OUT                    86
327,ER30507,float,%9.0g,1986,YEAR MOVED IN/OUT                     86
328,ER30509,byte,%8.0g,1986,EMPLOYMENT STAT                       86
329,ER30527,byte,%8.0g,1986,H1/37/69 HLTH STATUS                  86
330,ER30534,float,%9.0g,1986,INDIVIDUAL WEIGHT                     86
331,V13710,byte,%8.0g,1987,FAM COMP CHANGE       87
332,V13723,byte,%8.0g,1987,TYPE INSTITUTION      87
333,V13724,float,%9.0g,1987,1987 HOUSE VALUE   (A10)
334,V14121,byte,%8.0g,1987,A4 TYPE DU
335,V14126,byte,%8.0g,1987,A9 OWN/RENT OR WHAT
336,V14140,byte,%8.0g,1987,A33 MOVED SINCE SPG 86?
337,V14141,float,%9.0g,1987,A34 MONTH MOVED
338,V14142,byte,%8.0g,1987,A35 WHY MOVED
339,V14513,byte,%8.0g,1987,H1 STATUS OF HEALTH-HEAD
340,V14524,byte,%8.0g,1987,H13 STATUS OF HLTH-WIFE
341,V14702,byte,%8.0g,1987,# INDS IN HLTH CARE FAC
342,V14737,float,%9.0g,1987,1987 FAMILY WEIGHT
343,ER30535,float,%9.0g,1987,1987 INTERVIEW NUMBER
344,ER30536,float,%9.0g,1987,SEQUENCE NUMBER                       87
345,ER30537,float,%9.0g,1987,RELATIONSHIP TO HEAD                  87
346,ER30538,float,%9.0g,1987,AGE OF INDIVIDUAL                     87
347,ER30541,byte,%8.0g,1987,MARR PAIRS INDICATOR                  87
348,ER30542,byte,%8.0g,1987,WHETHER MOVED IN/OUT                  87
349,ER30543,float,%9.0g,1987,MONTH MOVED IN/OUT                    87
350,ER30544,float,%9.0g,1987,YEAR MOVED IN/OUT                     87
351,ER30545,byte,%8.0g,1987,EMPLOYMENT STAT                       87
352,ER30569,float,%9.0g,1987,INDIVIDUAL WEIGHT                     87
353,V14810,byte,%8.0g,1988,FAM COMP CHANGE       88
354,V14823,byte,%8.0g,1988,TYPE INSTITUTION      88
355,V14824,float,%9.0g,1988,1988 HOUSE VALUE   (A9)
356,V15137,byte,%8.0g,1988,A4 TYPE DU
357,V15140,byte,%8.0g,1988,A8 OWN/RENT OR WHAT
358,V15148,byte,%8.0g,1988,A18 MOVED SINCE SPG 87?
359,V15149,float,%9.0g,1988,A19 MONTH MOVED
360,V15150,byte,%8.0g,1988,A20 WHY MOVED
361,V15993,byte,%8.0g,1988,H1 STATUS OF HEALTH-HEAD
362,V15999,byte,%8.0g,1988,H8 STATUS OF HLTH-WIFE
363,V16176,byte,%8.0g,1988,# INDS IN HLTH CARE FAC
364,V16208,float,%9.0g,1988,1988 FAMILY WEIGHT
365,ER30570,float,%9.0g,1988,1988 INTERVIEW NUMBER
366,ER30571,float,%9.0g,1988,SEQUENCE NUMBER                       88
367,ER30572,float,%9.0g,1988,RELATION TO HEAD                      88
368,ER30573,float,%9.0g,1988,AGE OF INDIVIDUAL                     88
369,ER30576,byte,%8.0g,1988,MARITAL INDICATOR-IND                 88
370,ER30577,byte,%8.0g,1988,MOVED IN/OUT                          88
371,ER30578,float,%9.0g,1988,MONTH MOVED IN/OUT                    88
372,ER30579,float,%9.0g,1988,YEAR MOVED IN/OUT                     88
373,ER30580,byte,%8.0g,1988,EMPLOYMENT STAT-IND                   88
374,ER30598,byte,%8.0g,1988,H13 OFUM HEALTH GOOD                  88
375,ER30605,float,%9.0g,1988,INDIVIDUAL WEIGHT                     88
376,V16310,byte,%8.0g,1989,FAM COMP CHANGE       89
377,V16323,byte,%8.0g,1989,TYPE INSTITUTION      89
378,V16324,float,%9.0g,1989,1989 HOUSE VALUE   (A9)
379,V16638,byte,%8.0g,1989,A4 TYPE DU
380,V16641,byte,%8.0g,1989,A8 OWN/RENT OR WHAT
381,V16649,byte,%8.0g,1989,A18 MOVED SINCE SPG 88?
382,V16650,float,%9.0g,1989,A19 MONTH MOVED
383,V16651,byte,%8.0g,1989,A20 WHY MOVED
384,V17390,byte,%8.0g,1989,H1 STATUS OF HEALTH-HEAD
385,V17396,byte,%8.0g,1989,H8 STATUS OF HLTH-WIFE
386,V17558,byte,%8.0g,1989,# INDS IN HLTH CARE FAC
387,V17612,float,%9.0g,1989,1989 FAMILY WEIGHT
388,ER30606,float,%9.0g,1989,1989 INTERVIEW NUMBER
389,ER30607,float,%9.0g,1989,SEQUENCE NUMBER                       89
390,ER30608,float,%9.0g,1989,RELATION TO HEAD                      89
391,ER30609,float,%9.0g,1989,AGE OF INDIVIDUAL                     89
392,ER30612,byte,%8.0g,1989,MARITAL INDICATOR-IND                 89
393,ER30613,byte,%8.0g,1989,MOVED IN/OUT                          89
394,ER30614,float,%9.0g,1989,MONTH MOVED IN/OUT                    89
395,ER30615,float,%9.0g,1989,YEAR MOVED IN/OUT                     89
396,ER30616,byte,%8.0g,1989,EMPLOYMENT STAT-IND                   89
397,ER30634,byte,%8.0g,1989,H13 OFUM HEALTH GOOD                  89
398,ER30641,float,%9.0g,1989,INDIVIDUAL WEIGHT                     89
399,V17702,float,%9.0g,1990,1990 INTERVEW NUMBER
400,V17710,byte,%8.0g,1990,FAM COMP CHANGE       90
401,V17723,byte,%8.0g,1990,TYPE INSTITUTION      90
402,V17724,float,%9.0g,1990,1990 HOUSE VALUE  (A16)
403,V18056,byte,%8.0g,1990,A4 TYPE DU
404,V18057,byte,%8.0g,1990,A6 LIVE IN ELDERLY HSNG
405,V18058,byte,%8.0g,1990,A7 TYPE ELDERLY HSNG
406,V18072,byte,%8.0g,1990,A15 OWN/RENT OR WHAT
407,V18087,byte,%8.0g,1990,A38 MOVED SINCE SPG 89?
408,V18088,float,%9.0g,1990,A39 MONTH MOVED
409,V18089,byte,%8.0g,1990,A40 WHY MOVED
410,V18721,byte,%8.0g,1990,H1 STATUS OF HEALTH-HEAD
411,V18727,byte,%8.0g,1990,H8 STATUS OF HLTH-WIFE
412,V18912,byte,%8.0g,1990,# INDS IN HLTH CARE FACL
413,V18943,float,%9.0g,1990,1990 CORE FAMILY WEIGHT
414,ER30642,float,%9.0g,1990,1990 INTERVIEW NUMBER
